rollout/tel_mean,time/fps,rollout/ho_prob,rollout/ep_rew_mean,rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/tran_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/loss
0.5912836697117788,8,0.7777777777777778,59.94288366999999,0.05,25.23,76783,2892,0.9333333333333332,8906,0.05,76282,1.3661495447158813
1.0265697329408399,8,0.5555555555555556,61.28491362,0.05,25.25,76892,2896,1.0,8917,0.05,76391,1.292595386505127
8.67950845097376e-05,8,0.7333333333333333,60.66970834,0.05,24.99,76976,2900,1.0,8926,0.05,76475,1.2954970598220825
3.93782474629952e-06,8,0.7931034482758621,59.42718521,0.05,24.84,77071,2904,0.8175582990397806,8936,0.05,76570,1.1240007877349854
0.30268374021357725,8,0.7586206896551724,58.91354546999999,0.05,25.09,77191,2908,1.0,8948,0.05,76690,1.3564811944961548
0.00017569603628513904,8,0.7241379310344828,59.457784069999995,0.05,25.22,77297,2912,0.8003044877680695,8959,0.05,76796,1.327362298965454
0.03557250652356765,8,0.8275862068965517,59.128683249999995,0.05,25.2,77398,2916,0.9333303068799909,8969,0.05,76897,1.0446535348892212
10.588193250084155,8,0.7391304347826086,57.93598428999999,0.05,25.25,77512,2920,0.9999999982029569,8982,0.05,77011,1.3916698694229126
2.1943001769488197,8,0.4827586206896552,56.54722733,0.05,24.92,77599,2924,1.0,8991,0.05,77098,1.3200756311416626
6.540371921780755,8,0.41379310344827586,56.638671020000004,0.05,24.83,77700,2928,0.8666666666666667,9001,0.05,77199,1.2723861932754517
0.000847742947921105,8,0.7857142857142857,55.00930272999999,0.05,24.5,77787,2932,1.0,9010,0.05,77286,1.2178539037704468
0.3462928120071704,8,0.7931034482758621,55.15970081999999,0.05,24.43,77900,2936,1.0,9022,0.05,77399,1.122915267944336
0.08336211726900682,8,0.896551724137931,55.43030561,0.05,24.7,78020,2940,0.9999999999999994,9034,0.05,77519,1.112293004989624
0.15935701602354577,8,0.7931034482758621,55.66090111,0.05,24.54,78120,2944,0.8666666666391295,9044,0.05,77619,1.2823938131332397
3.7682549361111306,8,0.6206896551724138,56.266182529999995,0.05,24.7,78223,2948,0.9991239449316985,9054,0.05,77722,1.2717560529708862
0.00016786503338369908,8,0.896551724137931,56.97058554999999,0.05,24.86,78315,2952,0.999999986353704,9065,0.05,77814,1.572241187095642
0.00011199774750892461,8,0.5862068965517241,56.44062102000001,0.05,24.63,78409,2956,0.9333333183354245,9075,0.05,77908,1.2381558418273926
7.121263641941117e-06,8,0.8275862068965517,57.25327096,0.05,24.95,78518,2960,1.0,9086,0.05,78017,1.2113929986953735
0.0007366385645091954,8,0.5172413793103449,58.454408300000004,0.05,25.29,78630,2964,1.0,9098,0.05,78129,1.091451644897461
0.04243847535782832,8,0.5,57.03179271000001,0.05,24.91,78706,2968,1.0,9106,0.05,78205,1.3004544973373413
3.6594305198465307,8,0.5517241379310345,58.92303475,0.05,24.99,78806,2972,0.9333298698231459,9116,0.05,78305,1.193772554397583
0.6448195704955404,8,0.6206896551724138,59.81080951,0.05,25.37,78920,2976,0.9657906116257936,9128,0.05,78419,1.0852681398391724
0.00595020022952232,8,0.75,58.22845202000001,0.05,25.19,79009,2980,0.9666666666666667,9138,0.05,78508,1.028916597366333
3.0276736824283748,8,0.5862068965517241,59.80643001000001,0.05,25.59,79129,2984,1.0,9150,0.05,78628,1.288122534751892
6.305204486904639e-06,8,0.6666666666666666,59.79109398999999,0.05,25.45,79235,2988,1.0,9161,0.05,78734,1.4599316120147705
3.078429550547753,8,0.75,58.612568530000004,0.05,25.48,79331,2992,0.7333333333370226,9171,0.05,78830,1.1122936010360718
9.683722429243926e-06,8,0.8666666666666667,56.974054210000006,0.05,25.45,79437,2996,1.0,9182,0.05,78936,1.531711459159851
0.009767949663510706,8,0.8275862068965517,57.382291429999995,0.05,25.6,79536,3000,1.0,9193,0.05,79035,1.0806200504302979
0.2527536973309889,8,0.9090909090909091,57.57142631999999,0.05,25.78,79649,3004,1.0,9204,0.05,79148,1.0904849767684937
0.0015505241836882538,8,0.76,57.447407059999996,0.05,25.7,79761,3008,1.0,9216,0.05,79260,1.2569150924682617
1.4189238712363899,8,0.8275862068965517,57.65477421,0.05,25.58,79855,3012,0.7356462326681178,9226,0.05,79354,1.1862260103225708
7.251809110278197,8,0.6896551724137931,58.98961468,0.05,25.55,79953,3016,1.0,9237,0.05,79452,1.1529163122177124
3.9110634089482756,8,0.8275862068965517,59.48568367,0.05,25.42,80054,3020,0.8666666787250303,9247,0.05,79553,1.2925859689712524
1.0957149961864232,8,0.7058823529411765,58.99158774999999,0.05,25.63,80162,3024,0.9990114320102768,9259,0.05,79661,1.2039210796356201
0.00048704596409329345,8,0.7931034482758621,58.835903359999996,0.05,25.8,80280,3028,0.8333333333333334,9271,0.05,79779,1.281308650970459
4.555515921529629,8,0.0,58.969328159999996,0.05,25.72,80359,3032,0.9666666666666667,9279,0.05,79858,0.9870443940162659
1.6089678303636146,8,0.5862068965517241,60.73569881,0.05,25.79,80479,3036,1.0,9292,0.05,79978,1.3890224695205688
2.729748491755638,8,0.6666666666666666,61.4588069,0.05,25.71,80591,3040,0.866666666670293,9304,0.05,80090,1.350087285041809
0.008082438406807033,8,0.8275862068965517,61.12164417000001,0.05,25.82,80702,3044,0.999999999948483,9315,0.05,80201,1.130987286567688
3.9657584094612797,8,0.6896551724137931,60.885377610000006,0.05,25.81,80804,3048,1.0,9326,0.05,80303,1.1174914836883545
0.03663051537745977,8,0.5833333333333334,61.57345694000001,0.05,25.88,80903,3052,1.0,9336,0.05,80402,1.2382842302322388
0.021252956425408257,8,0.3793103448275862,62.124124390000006,0.05,26.14,81023,3056,0.9333298698231459,9348,0.05,80522,1.031590461730957
0.013143885815873887,8,0.9310344827586207,61.702041419999986,0.05,26.22,81140,3060,1.0,9360,0.05,80639,1.087493896484375
6.470529359457881e-08,8,0.5789473684210527,62.319078880000006,0.05,26.09,81239,3064,0.9666632312113315,9371,0.05,80738,1.0633187294006348
0.001072893698295274,8,0.7586206896551724,62.73542523000002,0.05,26.47,81353,3068,0.9999954150116398,9382,0.05,80852,1.232693076133728
0.00018179888244804868,8,0.6666666666666666,60.816991819999984,0.05,26.41,81447,3072,0.9657906116258016,9392,0.05,80946,1.187169075012207
0.0005467317092710742,8,0.75,59.698012850000005,0.05,26.12,81532,3076,1.0,9401,0.05,81031,1.1540181636810303
0.7122020788349911,8,0.5517241379310345,59.54489966000001,0.05,26.19,81628,3080,1.0,9411,0.05,81127,1.2652809619903564
0.03925428021476817,8,0.8235294117647058,56.76216001000001,0.05,25.64,81693,3084,0.8689788706554445,9418,0.05,81192,1.1295444965362549
0.5668183397726191,8,0.9310344827586207,56.03486194,0.05,25.68,81803,3088,1.0,9430,0.05,81302,1.1504919528961182
2.1289928861840592,8,0.41379310344827586,58.53337409000001,0.05,25.92,81923,3092,1.0,9442,0.05,81422,1.2121976613998413
0.011748749333134866,8,0.6363636363636364,59.735693960000006,0.05,25.82,82019,3096,1.0,9452,0.05,81518,1.147970199584961
0.0850504091997683,8,0.4444444444444444,59.92772010000001,0.05,25.84,82120,3100,1.0,9463,0.05,81619,1.0838782787322998
6.682412789129376,8,0.7931034482758621,59.90763835000001,0.05,25.68,82217,3104,1.0,9472,0.05,81716,1.3786593675613403
0.0029373363501638008,8,0.6551724137931034,59.85873325000001,0.05,25.66,82327,3108,0.9657906116257936,9483,0.05,81826,1.4099637269973755
0.003582469600391558,8,0.7241379310344828,59.48798022,0.05,25.68,82423,3112,1.0,9493,0.05,81922,1.1093244552612305
0.010435736434433943,8,0.6206896551724138,59.34116044,0.05,25.9,82543,3116,0.8666673620126734,9505,0.05,82042,1.2467334270477295
1.1724587539364937,8,0.8333333333333334,58.47661144000001,0.05,26.04,82658,3120,1.0,9517,0.05,82157,1.5374475717544556
1.0698306576778553e-05,8,0.6206896551724138,58.156598489999986,0.05,26.0,82762,3124,0.8491083676268949,9528,0.05,82261,1.3147205114364624
0.008598135917222707,8,0.85,57.60020178999999,0.05,25.93,82873,3128,1.0,9539,0.05,82372,1.2247949838638306
0.00046842652427416003,8,0.8620689655172413,57.89529965999999,0.05,26.18,82977,3132,1.0,9550,0.05,82476,1.1377655267715454
1.4159513656090605,8,0.6551724137931034,55.68717723999999,0.05,25.92,83071,3136,1.0,9559,0.05,82570,1.2710132598876953
0.13385597137675845,8,0.7142857142857143,54.634188599999995,0.05,25.81,83172,3140,0.9999965629044789,9570,0.05,82671,1.0800374746322632
3.8033896361270334,8,0.5833333333333334,54.228996710000004,0.05,25.85,83287,3144,1.0,9582,0.05,82786,1.2872388362884521
0.003164019152093614,8,0.7931034482758621,54.38914388,0.05,25.69,83373,3148,1.0,9591,0.05,82872,1.0839098691940308
0.04370530097716786,8,0.896551724137931,53.06241181,0.05,25.65,83468,3152,1.0,9600,0.05,82967,1.1272430419921875
1.560664687370841,8,0.7647058823529411,52.56409198,0.05,25.53,83576,3156,0.9333333333333332,9612,0.05,83075,1.2563637495040894
0.0024956772187173046,8,0.6551724137931034,53.007636080000005,0.05,25.4,83680,3160,1.0,9622,0.05,83179,1.102332592010498
0.48263798861977114,8,0.7222222222222222,51.019613799999995,0.05,25.5,83789,3164,0.9657906116257936,9634,0.05,83288,1.3353564739227295
1.659731255778256,8,0.625,50.55012019000001,0.05,25.1,83863,3168,1.0,9641,0.05,83362,1.4419459104537964
0.9010983916961892,8,0.6896551724137931,50.77989047,0.05,25.16,83963,3172,1.0,9651,0.05,83462,1.2173340320587158
0.5016053687673172,8,0.8888888888888888,51.86038624,0.05,25.49,84081,3176,0.9657906116257936,9664,0.05,83580,1.2666280269622803
3.180042809962408,8,0.3103448275862069,52.59387460999999,0.05,25.6,84188,3180,0.9999999999760263,9675,0.05,83687,1.442739725112915
0.0024240282853492485,8,0.8235294117647058,52.76849011,0.05,25.62,84255,3184,0.9657906116257937,9682,0.05,83754,1.1403098106384277
1.5795969773836842,8,0.5384615384615384,53.52301189,0.05,25.33,84336,3188,1.0,9691,0.05,83835,1.3683878183364868
0.3315208424831823,8,0.8333333333333334,53.28077353,0.05,25.05,84428,3192,1.0,9700,0.05,83927,1.3785606622695923
0.0435819743841324,8,0.7142857142857143,52.36630379,0.05,24.74,84493,3196,0.9325630539377915,9707,0.05,83992,1.3560152053833008
0.00290562807523118,8,0.6923076923076923,52.23062085999999,0.05,24.77,84597,3200,0.9666666666666667,9718,0.05,84096,1.126340627670288
1.06449154820568,8,0.5833333333333334,52.87263127999999,0.05,24.73,84690,3204,1.0,9727,0.05,84189,1.3234989643096924
0.0028598623297396565,8,0.5517241379310345,53.65313896,0.05,24.65,84792,3208,0.8842249657064373,9737,0.05,84291,1.3338375091552734
9.647788805357097e-07,8,0.68,53.84318570000001,0.05,24.59,84882,3212,0.9657906116257936,9745,0.05,84381,1.1430636644363403
0.000949166711917952,8,0.7692307692307693,54.26714888000001,0.05,24.43,84986,3216,1.0,9756,0.05,84485,1.095605731010437
0.005471264666327987,8,0.5172413793103449,54.78418055999999,0.05,24.48,85106,3220,1.0,9768,0.05,84605,1.5285598039627075
0.012192880679246378,8,0.875,54.81873777,0.05,24.36,85198,3224,0.9333297664336687,9777,0.05,84697,1.2115488052368164
0.8637247500101469,8,0.6551724137931034,54.92495273,0.05,24.45,85318,3228,0.9999999999724629,9789,0.05,84817,1.256393313407898
0.35016690003244094,8,0.8,54.601170710000005,0.05,24.24,85401,3232,0.9999999999999994,9797,0.05,84900,1.2000062465667725
14.160499000141039,8,0.5517241379310345,55.10264442,0.05,24.33,85504,3236,0.9333333333333332,9807,0.05,85003,1.1793965101242065
0.0006641648173579642,8,0.7931034482758621,55.8419839,0.05,24.43,85615,3240,0.9999999850020913,9818,0.05,85114,0.9879433512687683
1.25809600479647,8,0.7586206896551724,56.454596470000006,0.05,24.47,85734,3244,0.8669711544347362,9829,0.05,85233,1.1781688928604126
0.07944753664899934,8,0.5862068965517241,56.340598390000004,0.05,24.7,85843,3248,0.9157750345026621,9840,0.05,85342,1.2398515939712524
0.05152843476468822,8,0.75,56.35046217,0.05,24.86,85954,3252,0.9999999882823752,9851,0.05,85453,1.362525463104248
2.3063014156102506,8,0.8620689655172413,56.851357439999994,0.05,24.7,86046,3256,0.99996174144548,9860,0.05,85545,1.3288744688034058
0.0100655623973496,8,0.6206896551724138,57.03168439000001,0.05,24.76,86156,3260,1.0,9871,0.05,85655,1.2337965965270996
0.028267339427511046,8,0.7586206896551724,57.29079310000001,0.05,24.64,86253,3264,0.9333333333333332,9880,0.05,85752,1.1545530557632446
0.06533906303155732,8,0.6666666666666666,57.21650785999999,0.05,24.79,86342,3268,1.0,9889,0.05,85841,1.2216179370880127
